Time Stamp,Total USD,%ETH
7/23/17 15:30,#ERROR!,#ERROR!
7/23/17 16:30,#ERROR!,#ERROR!
7/23/17 17:30,#ERROR!,#ERROR!
7/23/17 18:30,#ERROR!,#ERROR!
7/23/17 19:30,#ERROR!,#ERROR!
7/23/17 20:30,#ERROR!,#ERROR!
7/23/17 21:30,#ERROR!,#ERROR!
7/23/17 22:30,44958.53148,80.86804489
7/23/17 23:30,#ERROR!,#ERROR!
7/24/17 0:30,#ERROR!,#ERROR!
7/24/17 1:30,#ERROR!,#ERROR!
7/24/17 2:30,#ERROR!,#ERROR!
7/24/17 3:30,#ERROR!,#ERROR!
7/24/17 4:30,#ERROR!,#ERROR!
7/24/17 5:30,#ERROR!,#ERROR!
7/24/17 6:30,#ERROR!,#ERROR!
7/24/17 7:30,#ERROR!,#ERROR!
7/24/17 8:30,#ERROR!,#ERROR!
7/24/17 9:30,#NAME?,#NAME?
7/24/17 10:30,#ERROR!,#ERROR!
7/24/17 11:30,#NAME?,#NAME?
7/24/17 12:30,#NAME?,#NAME?
7/24/17 13:30,#ERROR!,#ERROR!
7/24/17 14:30,#ERROR!,#ERROR!
7/24/17 15:30,#NAME?,#NAME?
7/24/17 16:30,#ERROR!,#ERROR!
7/24/17 17:30,#ERROR!,#ERROR!
7/24/17 18:30,#ERROR!,#ERROR!
7/24/17 19:30,#ERROR!,#ERROR!
7/24/17 20:30,#NAME?,#NAME?
7/24/17 21:30,#ERROR!,#ERROR!
7/24/17 22:30,45120.02279,79.19499435
7/24/17 23:30,#ERROR!,#ERROR!
7/25/17 0:30,45337.39095,78.91388011
7/25/17 1:30,#ERROR!,#ERROR!
7/25/17 2:30,#ERROR!,#ERROR!
7/25/17 3:30,#ERROR!,#ERROR!
7/25/17 4:30,43061.54953,79.65454706
7/25/17 5:30,#ERROR!,#ERROR!
7/25/17 6:30,#ERROR!,#ERROR!
7/25/17 7:30,#ERROR!,#ERROR!
7/25/17 8:30,40750.04472,80.37690428
